time,x0y0,x1y0,x2y0,x3y0,x4y0,x5y0,x0y1,x1y1,x2y1,x3y1,x4y1,x5y1,x0y2,x1y2,x2y2,x3y2,x4y2,x5y2,x0y3,x1y3,x2y3,x3y3,x4y3,x5y3
0.998,27,3,0,82,15,2,11,5,0,80,15,2,4,6,0,82,16,2,70,9,14,82,22,5
1.016,27,4,0,82,15,2,11,6,0,81,15,2,4,6,0,81,16,2,70,9,14,83,22,5
1.031,27,3,0,81,15,2,11,6,0,81,15,2,4,6,0,81,16,2,70,9,14,83,22,5
1.048,27,3,0,80,15,2,11,6,0,82,16,2,4,6,0,80,16,2,70,9,14,83,22,5
1.067,27,3,0,80,14,2,11,5,0,83,16,2,4,6,0,79,16,2,69,9,14,84,22,6
1.084,27,4,0,80,14,2,11,5,0,83,16,2,4,6,0,79,16,2,69,9,14,84,23,6
1.098,27,4,0,80,14,2,11,5,0,82,16,2,4,6,0,80,16,2,69,8,14,83,23,6
1.115,27,4,0,80,14,2,11,5,0,82,16,2,4,6,0,81,16,2,69,8,14,82,22,6
1.134,27,4,0,81,15,2,11,5,0,81,15,1,4,6,0,81,16,2,69,8,14,82,22,6
1.148,27,4,0,82,15,2,11,5,0,80,15,1,4,7,0,82,16,2,69,8,14,81,22,5
1.164,27,4,0,83,15,2,11,5,0,80,15,1,4,7,0,82,16,2,69,8,14,81,22,5
1.182,27,4,0,83,15,2,11,5,0,79,15,1,4,7,0,83,16,2,70,8,14,81,22,5
1.199,27,4,0,83,15,2,11,5,0,80,15,1,4,7,0,83,16,2,70,8,14,81,22,5
1.215,27,3,0,84,15,2,11,5,0,80,15,1,4,6,0,82,16,2,70,9,14,82,22,5
1.234,26,3,0,83,15,2,11,5,0,81,15,1,4,6,0,82,16,2,70,9,14,82,22,5
1.248,26,3,0,82,15,2,11,5,0,81,15,1,4,6,0,81,16,2,70,9,14,83,22,5
1.265,25,3,0,81,15,2,10,6,0,82,16,2,4,6,0,80,16,2,70,9,14,83,22,5
